entity_1,relation,entity_2
肖永惠,invented,一种张脚式巷道防冲液压支架及其防冲方法
肖永惠,invented,一种导向梁运移式巷道防冲液压支架及其使用方法
肖永惠,invented,一种巷道液压支架的圆形运移轨道装置
肖永惠,invented,一种冲击地压巷道液压支架的防冲效能评价方法
郭昊,invented,一种适用于巷道防冲液压支架的吸能式顶梁
郭昊,invented,一种吸能防冲防倒巷道液压支架
郭昊,invented,一种缓冲吸能型的液压支架底座
郭昊,invented,一种张脚式巷道防冲液压支架及其防冲方法
郭昊,invented,一种导向梁运移式巷道防冲液压支架及其使用方法
郭昊,invented,一种巷道液压支架的圆形运移轨道装置
一种智能化煤矿办公网络安全管理方法及系统,keywords,确定对应的网络使用权限
一种智能化煤矿办公网络安全管理方法及系统,keywords,根据网络使用权限
一种智能化煤矿办公网络安全管理方法及系统,keywords,根据人员信息和设备信息
一种智能化煤矿办公网络安全管理方法及系统,keywords,本申请中的方法可以自动根据网络请求消息中的人员信息和设备信息
一种智能化煤矿办公网络安全管理方法及系统,keywords,本申请提出的智能化煤矿办公网络安全管理方法
一种智能化煤矿办公网络安全管理方法及系统,keywords,本发明公开了一种用于套管悬挂器的压力试验装置
一种智能化煤矿办公网络安全管理方法及系统,keywords,本发明公开了一种用于电缆压接的组合式工装
一种智能化煤矿办公网络安全管理方法及系统,keywords,本发明公开了一种由甲醇制环氧化物的集成工艺方法
一种智能化煤矿办公网络安全管理方法及系统,keywords,本发明公开了一种硫化型体相加氢催化剂的制备方法
一种智能化煤矿办公网络安全管理方法及系统,keywords,本发明公开了一种硫化型加氢催化剂的制备方法
李慧,invented,一种智能化煤矿办公网络安全管理方法及系统
王刚,invented,一种智能化煤矿办公网络安全管理方法及系统
焦渭战,invented,一种智能化煤矿办公网络安全管理方法及系统
伏明,invented,一种智能化煤矿办公网络安全管理方法及系统
张倍宁,invented,一种智能化煤矿办公网络安全管理方法及系统
张倍宁,invented,一种液压支架减重方法
张倍宁,invented,一种超前液压支架
孙晓虎,invented,一种智能化煤矿办公网络安全管理方法及系统
金建成,invented,一种智能化煤矿办公网络安全管理方法及系统
赵凯,invented,一种智能化煤矿办公网络安全管理方法及系统
刘维,invented,一种智能化煤矿办公网络安全管理方法及系统
一种特定径路生成方法、系统、设备及计算机存储介质,keywords,根据数字化集合
一种特定径路生成方法、系统、设备及计算机存储介质,keywords,根据分类的结果
一种特定径路生成方法、系统、设备及计算机存储介质,keywords,根据特定径路请求
一种特定径路生成方法、系统、设备及计算机存储介质,keywords,本发明提供一种特定径路生成方法
一种特定径路生成方法、系统、设备及计算机存储介质,keywords,设备及计算机存储介质
一种特定径路生成方法、系统、设备及计算机存储介质,keywords,本发明在生成特定径路的时候将较为方便
一种特定径路生成方法、系统、设备及计算机存储介质,keywords,系统
一种特定径路生成方法、系统、设备及计算机存储介质,keywords,所述方法包括
一种特定径路生成方法、系统、设备及计算机存储介质,keywords,本发明公开了一种聚酰胺改性水性环氧固化剂及其制备方法
一种特定径路生成方法、系统、设备及计算机存储介质,keywords,本发明公开了一种确定混源油的烃源岩贡献率的方法
王源,invented,一种特定径路生成方法、系统、设备及计算机存储介质
王源,invented,一种油管悬挂器测试方法
周瑾,invented,一种特定径路生成方法、系统、设备及计算机存储介质
杨育龙,invented,一种特定径路生成方法、系统、设备及计算机存储介质
刘力,invented,一种特定径路生成方法、系统、设备及计算机存储介质
一种智能行进的钻孔窥视设备及其使用方法,keywords,智慧平台内置有智行处理器
一种智能行进的钻孔窥视设备及其使用方法,keywords,本发明解决了现有钻孔窥视设备对智能化水平低
一种智能行进的钻孔窥视设备及其使用方法,keywords,智行处理器分别与智导设备和成像器信号连接
一种智能行进的钻孔窥视设备及其使用方法,keywords,智能窥视探头头端设置有摄像头
一种智能行进的钻孔窥视设备及其使用方法,keywords,智能窥视探头内置有智导设备
一种智能行进的钻孔窥视设备及其使用方法,keywords,智能窥视探头为直径小于钻孔内径的长筒型结构
一种智能行进的钻孔窥视设备及其使用方法,keywords,智能窥视探头上安装有自行走机构
一种智能行进的钻孔窥视设备及其使用方法,keywords,智慧平台上设置有含操作系统的成像器
一种智能行进的钻孔窥视设备及其使用方法,keywords,智导设备分别与摄像头和自行走机构信号连接
一种智能行进的钻孔窥视设备及其使用方法,keywords,本发明公开了一种硫化型加氢催化剂的制备方法
李家俊,invented,一种智能行进的钻孔窥视设备及其使用方法
管曾伦,invented,一种智能行进的钻孔窥视设备及其使用方法
张寅,invented,一种智能行进的钻孔窥视设备及其使用方法
张寅,invented,用于冲击地压矿井的机械扩孔钻头
高学鹏,invented,一种智能行进的钻孔窥视设备及其使用方法
赵乾,invented,一种智能行进的钻孔窥视设备及其使用方法
赵乾,invented,一种吸能防冲防倒巷道液压支架
赵乾,invented,一种缓冲吸能型的液压支架底座
韩宗会,invented,一种智能行进的钻孔窥视设备及其使用方法
锚索动态力学性能测试方法及其测试系统,keywords,提供一种锚索动态力学性能测试方法及其测试系统
锚索动态力学性能测试方法及其测试系统,keywords,本发明利用重锤和模拟岩层模拟锚索受到的冲击
锚索动态力学性能测试方法及其测试系统,keywords,本发明涉及煤炭开采技术领域
锚索动态力学性能测试方法及其测试系统,keywords,根据采集和监测到的数据情况
锚索动态力学性能测试方法及其测试系统,keywords,模拟岩层的超声波时程曲线和模拟岩层表面的变形场
锚索动态力学性能测试方法及其测试系统,keywords,计算并获得重锤冲击力时程曲线
锚索动态力学性能测试方法及其测试系统,keywords,本发明公开了一种梳型丙烯酸嵌段共聚物及其制备方法
锚索动态力学性能测试方法及其测试系统,keywords,本发明公开了一种用于套管悬挂器的压力试验装置
锚索动态力学性能测试方法及其测试系统,keywords,本发明公开了一种钢丝动力电缆投捞机组系统及作业方法
锚索动态力学性能测试方法及其测试系统,keywords,本发明公开了一种采油树帽送入工具
付玉凯,invented,锚索动态力学性能测试方法及其测试系统
吴拥政,invented,锚索动态力学性能测试方法及其测试系统
周鹏赫,invented,锚索动态力学性能测试方法及其测试系统
孙卓越,invented,锚索动态力学性能测试方法及其测试系统
山世昌,invented,锚索动态力学性能测试方法及其测试系统
煤矿安全风险管控的平台、方法、电子设备及存储介质,keywords,还利用区块链技术对数据进行管理
煤矿安全风险管控的平台、方法、电子设备及存储介质,keywords,方法
煤矿安全风险管控的平台、方法、电子设备及存储介质,keywords,根据安全风险的类型发送对应的报警信息
煤矿安全风险管控的平台、方法、电子设备及存储介质,keywords,本方案利用ai模型对风险管控数据进行识别
煤矿安全风险管控的平台、方法、电子设备及存储介质,keywords,数据化监控模块
煤矿安全风险管控的平台、方法、电子设备及存储介质,keywords,电子设备及存储介质
煤矿安全风险管控的平台、方法、电子设备及存储介质,keywords,本发明公开了一种用于电缆压接的组合式工装
煤矿安全风险管控的平台、方法、电子设备及存储介质,keywords,本发明公开了一种由甲醇制环氧化物的集成工艺方法
煤矿安全风险管控的平台、方法、电子设备及存储介质,keywords,本发明公开了一种硫化型体相加氢催化剂的制备方法
煤矿安全风险管控的平台、方法、电子设备及存储介质,keywords,驱动环和胀裂环
乔冲,invented,煤矿安全风险管控的平台、方法、电子设备及存储介质
乔冲,invented,一种基于声音识别的煤矿井下探水钻孔监测方法与系统
王敏,invented,煤矿安全风险管控的平台、方法、电子设备及存储介质
李园园,invented,煤矿安全风险管控的平台、方法、电子设备及存储介质
周杰,invented,煤矿安全风险管控的平台、方法、电子设备及存储介质
刘志,invented,煤矿安全风险管控的平台、方法、电子设备及存储介质
能源供应链实时调度智能决策业务仿真系统及方法,keywords,本发明提供的实施方式能够为能源供应链实时调度智能决策业务提供仿真环境和仿真数据
能源供应链实时调度智能决策业务仿真系统及方法,keywords,数据层
能源供应链实时调度智能决策业务仿真系统及方法,keywords,本发明涉及仿真系统技术领域
能源供应链实时调度智能决策业务仿真系统及方法,keywords,时间管理
能源供应链实时调度智能决策业务仿真系统及方法,keywords,数据采集的支撑功能
能源供应链实时调度智能决策业务仿真系统及方法,keywords,模型层
能源供应链实时调度智能决策业务仿真系统及方法,keywords,包括
能源供应链实时调度智能决策业务仿真系统及方法,keywords,本发明公开了一种水下采油树顶部的电潜泵生产测试立管系统包括水下采油树装置
能源供应链实时调度智能决策业务仿真系统及方法,keywords,本发明公开了一种应用于无人平台的电液中枢控制系统
能源供应链实时调度智能决策业务仿真系统及方法,keywords,本发明公开了一种脲基分散剂及其制备方法与应用
陈金祥,invented,能源供应链实时调度智能决策业务仿真系统及方法
宇迪,invented,能源供应链实时调度智能决策业务仿真系统及方法
孔祥胜,invented,能源供应链实时调度智能决策业务仿真系统及方法
陈剑,invented,能源供应链实时调度智能决策业务仿真系统及方法
王晓燕,invented,能源供应链实时调度智能决策业务仿真系统及方法
张志杰,invented,能源供应链实时调度智能决策业务仿真系统及方法
张志杰,invented,基于时空网络的煤炭铁路运输重车调度优化方法及装置
张志杰,invented,能源供应链仿真推演方法、装置及电子设备
张志杰,invented,针对封航预警的船舶调度方法、装置及电子设备
苗靓,invented,能源供应链实时调度智能决策业务仿真系统及方法
苗靓,invented,基于时空网络的煤炭铁路运输重车调度优化方法及装置
苗靓,invented,能源供应链仿真推演方法、装置及电子设备
苗靓,invented,针对封航预警的船舶调度方法、装置及电子设备
一种吸能防冲防倒巷道液压支架,keywords,本发明通过x型结构辅助支撑架
一种吸能防冲防倒巷道液压支架,keywords,辅助支撑架
一种吸能防冲防倒巷道液压支架,keywords,既可以防锈
一种吸能防冲防倒巷道液压支架,keywords,制作成本较低的特点
一种吸能防冲防倒巷道液压支架,keywords,吸能组件采用三明治结构
一种吸能防冲防倒巷道液压支架,keywords,防止火花与外界瓦斯气体接触
一种吸能防冲防倒巷道液压支架,keywords,为井下防火安全提供保证
一种吸能防冲防倒巷道液压支架,keywords,制造容易
一种吸能防冲防倒巷道液压支架,keywords,具有结构简单
一种吸能防冲防倒巷道液压支架,keywords,本发明公开了一种用于套管悬挂器的压力试验装置
孙凯,invented,一种吸能防冲防倒巷道液压支架
苏士杰,invented,一种吸能防冲防倒巷道液压支架
苏士杰,invented,一种巷道液压支架的圆形运移轨道装置
郭辰光,invented,一种吸能防冲防倒巷道液压支架
钱洋喜,invented,一种吸能防冲防倒巷道液压支架
一种液压支架减重方法,keywords,有效减轻液压支架重量
一种液压支架减重方法,keywords,掩护梁顶板和底座底板
一种液压支架减重方法,keywords,掩护梁腹板
一种液压支架减重方法,keywords,本申请提出一种液压支架减重方法
一种液压支架减重方法,keywords,驱动环和胀裂环
一种液压支架减重方法,keywords,本发明公开了一种硫化型加氢脱金属催化剂的制备方法
一种液压支架减重方法,keywords,本发明公开了一种用于电缆压接的组合式工装
一种液压支架减重方法,keywords,本发明公开了一种由甲醇制环氧化物的集成工艺方法
一种液压支架减重方法,keywords,本发明公开了一种硫化型体相加氢催化剂的制备方法
一种液压支架减重方法,keywords,本发明公开了一种硫化型加氢催化剂的制备方法
李宣东,invented,一种液压支架减重方法
李宣东,invented,一种超前液压支架
徐亚军,invented,一种液压支架减重方法
徐亚军,invented,一种超前液压支架
邵常雄,invented,一种液压支架减重方法
邵常雄,invented,一种超前液压支架
时洪宇,invented,一种液压支架减重方法
时洪宇,invented,一种超前液压支架
郭洁,invented,一种液压支架减重方法
郭洁,invented,一种超前液压支架
袁朝宇,invented,一种液压支架减重方法
袁朝宇,invented,一种超前液压支架
雷小兵,invented,一种液压支架减重方法
雷小兵,invented,一种超前液压支架
王耀辉,invented,一种液压支架减重方法
王耀辉,invented,一种超前液压支架
保旭勇,invented,一种液压支架减重方法
保旭勇,invented,一种超前液压支架
一种超前液压支架,keywords,本发明提供的一种超前液压支架
一种超前液压支架,keywords,本发明涉及一种超前液压支架
一种超前液压支架,keywords,包括
一种超前液压支架,keywords,本发明公开了一种硫化型加氢催化剂的制备方法
